"","species","method","sampling","formula_null","loglik_null","npar_null","nobs_null","AICc_null","formula_best","loglik_best","npar_best","nobs_best","AICc_best","deltaAICc"
"78","P. maximus","camera only","Warapata + Kavanayen","pa_cam ~ bloque | cam",-10.4241168724616,12,72,50.1363693381435,"pa_cam ~ bsq + dcom | cam",-9.47589142237354,5,72,29.860873753838,20.2754955843055
"79","P. onca","camera only","Warapata + Kavanayen","pa_cam ~ bloque | muestreo + cam",-16.9001147897044,13,72,66.0760916483742,"pa_cam ~ bsq + dcon + dcom | muestreo + cam",-21.7608235561427,7,72,59.2716471122853,6.80444453608891
"80","P. tajacu","camera only","Warapata + Kavanayen","pa_cam ~ bloque | cam",-5.04903524190881,12,72,39.386206077038,NA,NA,NA,NA,NA,NA
"81","T. major","camera only","Warapata + Kavanayen","pa_cam ~ bloque | cam",-12.9842383344384,12,72,55.256612262097,"pa_cam ~ bsq + dcon + dbsq | cam",-15.8440055875882,6,72,44.9803188674841,10.2762933946129
"82","T. pecari","camera only","Warapata + Kavanayen","pa_cam ~ bloque | cam",-1.90955881996391,12,72,33.1072532331481,"pa_cam ~ bsq + dcom | cam",-4.1670124344307,5,72,19.2431157779523,13.8641374551958
"83","T. terrestris","camera only","Warapata + Kavanayen","pa_cam ~ bloque | cam",-10.1314285772997,12,72,49.5509927478198,NA,NA,NA,NA,NA,NA
"84","T. tetradactyla","camera only","Warapata + Kavanayen","pa_cam ~ bloque | muestreo + cam",-9.84253200224997,13,72,51.9609260734655,"pa_cam ~ bsq + dcon | muestreo + cam",-12.467336922626,6,72,38.2269815375598,13.7339445359057
"85","C. alector","camera only","Warapata","pa_cam ~ bloque | cam",-8.48012483297406,8,57,35.9602496659481,NA,NA,NA,NA,NA,NA
"86","C. olivaceus","camera only","Warapata","pa_cam ~ bloque | cam",-5.5454163167891,8,57,30.0908326335782,"pa_cam ~ bsq + frs | cam",-5.06753294417055,5,57,21.3115364765764,8.77929615700182
"87","C. paca","camera only","Warapata","pa_cam ~ bloque | cam",-24.823667092292,8,57,68.647334184584,"pa_cam ~ bsq + dcon | cam",-26.0449146493403,5,57,63.2662998869158,5.38103429766822
"88","C. thous","camera only","Warapata","pa_cam ~ bloque | cam",-24.1443960250513,8,57,67.2887920501025,"pa_cam ~ bsq + dcon | cam",-24.7950618146316,5,57,60.7665942174986,6.52219783260397
"89","C. unicinctus","camera only","Warapata","pa_cam ~ bloque | cam",-5.20834419214062,8,57,29.4166883842812,NA,NA,NA,NA,NA,NA
"90","D. imperfecta","camera only","Warapata","pa_cam ~ bloque | cam",-10.723826532282,8,57,40.447653064564,"pa_cam ~ bsq + dcom | cam",-13.3153327982132,5,57,37.8071361846617,2.64051687990231
"91","D. kappleri","camera only","Warapata","pa_cam ~ bloque | cam",-17.6102043279633,8,57,54.2204086559265,"pa_cam ~ bsq + dbsq | cam",-18.4031200259039,5,57,47.9827106400431,6.23769801588344
